api_developer_name,list_source,output_directory
"Softbir, Inc.",https://fhir-dev.cloudmd365.com/public-base-url-info,/Users/ftrotter/gitgov/DSACMS/npd_ehr_scrape_cache/cache/fhir_json_cache/softbir_inc_40fb593c7222f146e0f3a829780fe7c6
Edvak Technologies Inc,https://fhir-dev.edvak.com/fhir/.well-known/service-base-url.json,/Users/ftrotter/gitgov/DSACMS/npd_ehr_scrape_cache/cache/fhir_json_cache/edvak_technologies_inc_112272f30cf07498c24b6431718a8a2a
WRS Health,https://fhir-server.sam.wrs.dev/r4/ServiceBase,/Users/ftrotter/gitgov/DSACMS/npd_ehr_scrape_cache/cache/fhir_json_cache/wrs_health_d26340d1477608773b03c70fa116d900
Advanced Data Systems Corporation,https://fhir-service.medicscloud.com/da/get-clients-end-points,/Users/ftrotter/gitgov/DSACMS/npd_ehr_scrape_cache/cache/fhir_json_cache/advanced_data_systems_corporation_39bf6843af633b73ecc1a2a375a3e6c8
Advanced Data Systems Corporation,https://fhir-service.medicscloud.com/mc/get-clients-end-points,/Users/ftrotter/gitgov/DSACMS/npd_ehr_scrape_cache/cache/fhir_json_cache/advanced_data_systems_corporation_d0e6e74cb628cb528c7324b830c583a6
"Greenway Health, LLC",https://fhir-servicebaseurl.fhirhlprod.greenwayhealth.com/servicebundle.json,/Users/ftrotter/gitgov/DSACMS/npd_ehr_scrape_cache/cache/fhir_json_cache/greenway_health_llc_59b0bcf1b204c99bc48c001d80cc0b40
"Lunar Systems, Inc.",https://fhir-usa.unify.chbase.com/.well-known/endpoint,/Users/ftrotter/gitgov/DSACMS/npd_ehr_scrape_cache/cache/fhir_json_cache/lunar_systems_inc_98a0efa692acc63976bc37ba0826e97f
"TruBridge, Inc.",https://fhir-usa.unify.chbase.com/.well-known/endpoint,/Users/ftrotter/gitgov/DSACMS/npd_ehr_scrape_cache/cache/fhir_json_cache/trubridge_inc_98a0efa692acc63976bc37ba0826e97f
TenEleven Group,https://fhir.10e11.com/fhir/r4/endpoints,/Users/ftrotter/gitgov/DSACMS/npd_ehr_scrape_cache/cache/fhir_json_cache/teneleven_group_1f5e5c15b13b689746f2bbdc95333517
"AllegianceMD Software, Inc.",https://fhir.allegiancemd.io/R4/urls/endpoints.json,/Users/ftrotter/gitgov/DSACMS/npd_ehr_scrape_cache/cache/fhir_json_cache/allegiancemd_software_inc_0803e5ad7f364d7f21a2a186f38a1bd6
Compulink Healthcare Solutions,https://fhir.compulinkadvantage.com/endpoints,/Users/ftrotter/gitgov/DSACMS/npd_ehr_scrape_cache/cache/fhir_json_cache/compulink_healthcare_solutions_31e2dca501c3c99eec617a4485b1cdca
"Applied Research Works, Inc.",https://fhir.cozeva.com/r4Endpoints.json,/Users/ftrotter/gitgov/DSACMS/npd_ehr_scrape_cache/cache/fhir_json_cache/applied_research_works_inc_e130ae1503043614c79616b1c76e8c78
"DigiDMS, Inc.",https://fhir.digidms.com/fhir.json,/Users/ftrotter/gitgov/DSACMS/npd_ehr_scrape_cache/cache/fhir_json_cache/digidms_inc_30456e7288539fc09764f0eccb211d28
"eClinicalWorks, LLC",https://fhir.eclinicalworks.com/ecwopendev/external/practiceList,/Users/ftrotter/gitgov/DSACMS/npd_ehr_scrape_cache/cache/fhir_json_cache/eclinicalworks_llc_85cb24dc6fb6eb41ea6e6e3e9fd7ca66
"Elation Health, Inc.",https://fhir.elationemr.com/fhir/fhir-base-url,/Users/ftrotter/gitgov/DSACMS/npd_ehr_scrape_cache/cache/fhir_json_cache/elation_health_inc_01e07016b78ca3b99dce8bcfb8da7ce0
"DocToMe, Inc.",https://fhir.ethizo.com/api/4.0.0/service_based_url,/Users/ftrotter/gitgov/DSACMS/npd_ehr_scrape_cache/cache/fhir_json_cache/doctome_inc_1c145d17bd33da1368482c0b50afe0e6
"Foothold Technology, Inc.",https://fhir.footholdtechnology.com/Endpoint,/Users/ftrotter/gitgov/DSACMS/npd_ehr_scrape_cache/cache/fhir_json_cache/foothold_technology_inc_21ca87ec5719aa127e5f3e36abef9c9f
Genensys LLC,https://fhir.genensys.com/fhir/ServiceBaseURLs.json,/Users/ftrotter/gitgov/DSACMS/npd_ehr_scrape_cache/cache/fhir_json_cache/genensys_llc_8b61b4278beab13b334129f17a59f17a
First Insight Corporation,https://fhir.maximeyes.com/api/maximeyes.com/R4/PracticeBundle,/Users/ftrotter/gitgov/DSACMS/npd_ehr_scrape_cache/cache/fhir_json_cache/first_insight_corporation_4fe6ddbb6b3fd36d7b6f13690175e5be
MaxRemind Inc,https://fhir.maximus.care/api/service_based_url,/Users/ftrotter/gitgov/DSACMS/npd_ehr_scrape_cache/cache/fhir_json_cache/maxremind_inc_a286005d52997aeafb8b8a8339bc0902
MDLAND,https://fhir.mdland.net/ai/MDLandServiceBaseURLBundle.json,/Users/ftrotter/gitgov/DSACMS/npd_ehr_scrape_cache/cache/fhir_json_cache/mdland_895e255ebcfd4ad4c250fa3440774d6d
Benchmark Systems,https://fhir.mdnavigatorclinical.com/fhirurlpublication/api/endpoint,/Users/ftrotter/gitgov/DSACMS/npd_ehr_scrape_cache/cache/fhir_json_cache/benchmark_systems_c300eadadd71257b89c4d2c8c3a8ee5e
"MEDENT - Community Computer Service, Inc.",https://fhir.medent.com/fhir/resources/ServiceBaseURL.php,/Users/ftrotter/gitgov/DSACMS/npd_ehr_scrape_cache/cache/fhir_json_cache/medent_community_computer_service_inc_87fac7cad90e98e98c3a0cbdca275ed8
NextGen Healthcare,https://fhir.meditouchehr.com/api/fhir/r4/endpoint,/Users/ftrotter/gitgov/DSACMS/npd_ehr_scrape_cache/cache/fhir_json_cache/nextgen_healthcare_0b7d5930a913fe0eae933a82c34439d4
"MedAZ.Net, LLC",https://fhir.mhealthaz.com/servceurlsmedaz.json,/Users/ftrotter/gitgov/DSACMS/npd_ehr_scrape_cache/cache/fhir_json_cache/medaz_net_llc_201f5b541da4be6b0ffbc60dd3611d00
Mendelson Kornblum Orthopedic & Spine Specialists,https://fhir.mkoss.com/FhirDocs/downloadJSON,/Users/ftrotter/gitgov/DSACMS/npd_ehr_scrape_cache/cache/fhir_json_cache/mendelson_kornblum_orthopedic_spine_specialists_36bda2b76eda2ef5381096e4377f3ecf
TRIARQ Practice Services,https://fhir.myqone.com/api/FHIR/R4/EndpointBundle,/Users/ftrotter/gitgov/DSACMS/npd_ehr_scrape_cache/cache/fhir_json_cache/triarq_practice_services_dcedd6a33c586ecf436ad27111ca8f91
Netsmart Technologies,https://fhir.netsmartcloud.com/brand/brands.json,/Users/ftrotter/gitgov/DSACMS/npd_ehr_scrape_cache/cache/fhir_json_cache/netsmart_technologies_d9c94db8d2b7b0057cda690c45033c02
PCIS GOLD,https://fhir.pcisgold.com/fhirdocs/practices,/Users/ftrotter/gitgov/DSACMS/npd_ehr_scrape_cache/cache/fhir_json_cache/pcis_gold_36399432dd7c7ed79eaf66a939c1dce7
PointClickCare Technologies Inc.,https://fhir.pointclickcare.com/R4endpoints.json,/Users/ftrotter/gitgov/DSACMS/npd_ehr_scrape_cache/cache/fhir_json_cache/pointclickcare_technologies_inc_6c16472156096e7a291748d007f8dede
Practice EHR LLC,https://fhir.practiceehr.com/servicebaseurl.json,/Users/ftrotter/gitgov/DSACMS/npd_ehr_scrape_cache/cache/fhir_json_cache/practice_ehr_llc_8644b81817b625dae45637edf81122d9
"Sophrona Solutions, Inc.",https://fhir.practicegateway.net/smart/Endpoint?_format=application/json,/Users/ftrotter/gitgov/DSACMS/npd_ehr_scrape_cache/cache/fhir_json_cache/sophrona_solutions_inc_f098f7c135ebe3b2706d10cac426222d
"Tebra Technologies, Inc.",https://fhir.prd.cloud.tebra.com/fhir-organizations,/Users/ftrotter/gitgov/DSACMS/npd_ehr_scrape_cache/cache/fhir_json_cache/tebra_technologies_inc_d22e0b93242b41b3617df2faa309ea5e
Procentive,https://fhir.procentive.com/fhir/r4/endpoints,/Users/ftrotter/gitgov/DSACMS/npd_ehr_scrape_cache/cache/fhir_json_cache/procentive_4cfea213359bfae80eefe6573979101c
Flatiron Health,https://fhir.prod.flatiron.io/fhir,/Users/ftrotter/gitgov/DSACMS/npd_ehr_scrape_cache/cache/fhir_json_cache/flatiron_health_8fae89a0ebb741d8264bbb38419c03a0
"Welligent, Part of the ContinuumCloud",https://fhir.qa.welligent.com/fhir/r4/endpoints,/Users/ftrotter/gitgov/DSACMS/npd_ehr_scrape_cache/cache/fhir_json_cache/welligent_part_of_the_continuumcloud_96a77e201b1f790bb029fdf7fa4af21d
"SolidPractice Technologies, LLC",https://fhir.solidpractice.com/Endpoints-R4.json,/Users/ftrotter/gitgov/DSACMS/npd_ehr_scrape_cache/cache/fhir_json_cache/solidpractice_technologies_llc_28b0137dff1b4789d05c7ce3db190c74
Sai Systems Digital LLC,https://fhir.thesnfist.com/endpointlist,/Users/ftrotter/gitgov/DSACMS/npd_ehr_scrape_cache/cache/fhir_json_cache/sai_systems_digital_llc_5644f585775509d4f7a3180198c10010
TriMed Technologies,https://fhir.trimed.cloud/bundle,/Users/ftrotter/gitgov/DSACMS/npd_ehr_scrape_cache/cache/fhir_json_cache/trimed_technologies_6a7ff7f5f4d2d83972988d1d6412074c
ASP.MD Inc.,https://fhirapi.asp.md:3030/aspmd/fhirserver/endpoints.asp,/Users/ftrotter/gitgov/DSACMS/npd_ehr_scrape_cache/cache/fhir_json_cache/asp_md_inc_9df16d11b49c5b90c112da2a2e42bf30
The MITRE Corporation on behalf of the Office of the National Coordinator for Health IT (ONC),https://fhirapi.cursahealth.com/r4/service_based_url,/Users/ftrotter/gitgov/DSACMS/npd_ehr_scrape_cache/cache/fhir_json_cache/the_mitre_corporation_on_behalf_of_the_office_of_the_national_coordinator_for_health_it_onc_0e7c697ea422a8db15eeb6118ca98720
"EndoSoft, LLC",https://fhirapi.endosoft.com/apiendpoints.json,/Users/ftrotter/gitgov/DSACMS/npd_ehr_scrape_cache/cache/fhir_json_cache/endosoft_llc_aa4fb29e05337ad0d37787c345717b2d
InteliChart LLC,https://fhirapi.intelichart.com/servicebaseurls,/Users/ftrotter/gitgov/DSACMS/npd_ehr_scrape_cache/cache/fhir_json_cache/intelichart_llc_477dc646a4c3c5c7926eb56fd8198f9d
Medcare MSO,https://fhirapi.medcaremso.com/api/R4/BaseUrls,/Users/ftrotter/gitgov/DSACMS/npd_ehr_scrape_cache/cache/fhir_json_cache/medcare_mso_4d1cd1f783e3a0a69a74acc036ed7305
